,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,77,34,0.39,0.06,23.33,0.33,9.46,0.43,579,1133,3.29,0,8.88
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,71,37,0.31,0.08,20.28,0.21,8.19,0.25,291,764,3.3,6,8.89
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,73,35,0.35,0.06,20.05,0.3,8.14,0.33,509,989,3.45,2,9.21
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,78,27,0.49,0.07,19.37,0.21,7.83,0.37,339,878,3.32,17,8.69
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,65,26,0.43,0.05,21.0,0.23,8.49,0.48,396,974,3.26,13,8.92
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,54,23,0.4,0.06,22.65,0.22,9.15,0.38,279,681,3.39,16,9.17
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,28,12,0.4,0.06,16.13,0.2,6.53,0.18,144,405,3.28,7,9.06
7,44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,0.0,0.25,0.0,0.0,1,3,2.33,0,6.33
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,13,0.54,0.08,19.94,0.21,8.06,0.23,147,393,3.16,0,8.57
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,78,41,0.31,0.06,25.25,0.24,10.2,0.33,521,1197,3.42,8,8.86
10,47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,55,62,-0.06,0.06,18.54,0.25,7.51,0.23,455,1103,3.2,0,8.61
11,48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,45,24,0.3,0.06,22.0,0.3,8.92,0.78,355,692,3.53,9,9.4
12,49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,42,27,0.22,0.06,16.75,0.24,6.8,0.28,288,745,3.06,6,8.15
13,50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,69,24,0.48,0.06,21.27,0.21,8.59,0.51,353,848,3.56,16,9.47
